Equipment,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
EVDO RNC 23 TP 361 Throughput,496668,340299,282536,192001,173801,221063,168091,339772,523664,743073,955585,817577,1035510,1233987,1335357,1453716,1093911,812662,1533721,973475,1071363,795228,472561,1067697
EVDO RNC 23 TP 362 Throughput,489362,264819,171268,51307,39920,117795,319066,456144,474368,453457,696196,785809,621727,687306,617479,787515,707765,545269,729970,1043716,1128385,438838,1037709,1232403
EVDO RNC 23 TP 363 Throughput,1009358,564869,917781,631067,458133,521932,446277,1361656,1323517,753135,555192,565919,466358,515329,324642,509181,883399,1056376,1066924,438727,536378,2382362,1481737,1036627
EVDO RNC 23 TP 364 Throughput,753571,523300,1083591,855910,27337,33893,82913,196326,200651,309022,340922,751598,561779,262172,441974,493003,150352,227099,390017,465139,338933,657290,507919,75631
EVDO RNC 23 TP 365 Throughput,1205722,1138896,1143636,912708,1045971,870094,755677,934552,1747125,1278691,1545992,1583920,1463917,1455149,1428150,1272907,1020779,737472,425456,424119,749259,1203252,634694,609968
EVDO RNC 23 TP 366 Throughput,1869035,270179,274606,97451,51458,89541,434342,305972,812249,498914,475853,449715,581257,878841,943027,1154113,821165,582909,577210,819321,760510,1228142,1001463,430614
EVDO RNC 23 TP 367 Throughput,336930,76959,155081,207224,34249,32366,30419,213158,348797,277065,154146,430778,868064,328898,199222,244867,341609,293954,376824,580749,399829,463740,700946,333538
EVDO RNC 23 TP 368 Throughput,764463,884454,542243,264920,104329,139095,134812,84895,232089,176242,260649,627183,389533,323820,484994,779405,1260979,1465657,604629,1492257,1284310,1258580,669069,1296313
EVDO RNC 24 TP 369 Throughput,2198375,1882940,1379056,1308872,495587,376944,387634,496294,421209,665345,769566,700399,825597,714586,729209,944218,232869,338788,760679,554656,755391,891990,1330659,800391
EVDO RNC 24 TP 370 Throughput,1452111,651204,221099,43065,78674,233195,887301,1589738,1725964,1031103,677065,874471,914168,736972,1191180,910727,705482,1149619,1362887,1188774,578832,843469,914579,578083
EVDO RNC 24 TP 371 Throughput,2240956,1285082,930726,1020800,577339,362269,154726,587103,552906,1057439,599889,435950,428067,663497,972617,721636,770885,677039,570759,1115007,720199,825731,720637,573734
EVDO RNC 24 TP 372 Throughput,1540751,381876,433918,174347,142492,687188,740433,660301,740204,486550,355262,289772,477861,1058733,829588,1137979,776152,955228,547641,486555,674253,603930,651880,750552
EVDO RNC 24 TP 373 Throughput,858488,601299,406354,84759,95087,225775,180886,222538,286486,529225,388980,816344,1307405,833205,968352,961397,551150,990030,447479,1035447,1040625,1437769,1141859,1144563
EVDO RNC 24 TP 374 Throughput,703137,839093,466204,678621,564967,215302,261918,726605,848984,850552,612839,766747,635970,862251,769981,1259375,627474,259917,365552,417006,549617,293806,1025081,661259
EVDO RNC 24 TP 375 Throughput,959534,188971,150514,93398,89161,59528,210486,340212,661767,559725,484843,798470,1120425,837038,765626,895283,608724,713311,1055059,2575542,1325711,960792,718005,1035479
EVDO RNC 24 TP 376 Throughput,1598398,975009,565142,547304,394564,340688,357176,188434,278089,1144777,877146,464922,1441917,564752,621090,735084,759375,729126,719527,971194,2399809,1962056,1222453,1572418
EVDO RNC 24 TP 377 Throughput,606966,511317,178872,125158,150103,97591,282580,626320,755534,714857,509208,1231236,718893,553442,1100405,714699,706645,1201352,1204927,1021921,1055461,1033285,1154850,817452
EVDO RNC 24 TP 378 Throughput,1070699,419669,623781,1287680,1210405,671020,1413350,1468013,628570,711011,882195,591621,894014,1711261,1576622,1560487,1831933,880455,770272,703042,824368,1404176,880865,614510
EVDO RNC 24 TP 379 Throughput,925066,688005,187658,321665,149954,107598,116778,231369,625061,1113498,1309451,1279242,1373135,2118558,1242024,994285,817693,629812,1043683,1317485,1189851,680439,644543,1109487
EVDO RNC 24 TP 380 Throughput,964137,965019,775419,507764,228011,293393,255664,571399,904718,946944,1012706,508685,701980,820750,1027977,1539420,947102,755279,1176855,1917478,2217516,1686657,2105746,1184895
EVDO RNC 24 TP 381 Throughput,980904,279774,133109,176441,71008,16671,64882,258362,880299,1192892,516289,438747,748211,903047,470599,663102,850338,1065393,1145192,1175388,1393070,1616309,1360826,1365599
EVDO RNC 24 TP 382 Throughput,1694469,2051971,1769423,1068732,955192,1423837,1327431,239948,538716,1057837,723945,860677,703170,587446,714652,812305,1724588,660833,388792,467527,844590,1811400,1740252,693263
EVDO RNC 24 TP 383 Throughput,750821,218892,78247,223319,214071,63884,553580,768218,993180,1271186,884472,1184410,2106582,1732900,1850459,1488912,1052926,956684,500984,442816,868060,953012,509135,818857
EVDO RNC 24 TP 384 Throughput,2485580,1709775,502681,546924,575478,487906,510560,542409,400154,758625,1412573,1083530,1107079,1490133,1166330,1733555,1098004,1205130,1559225,454609,744526,1008404,600930,836287
EVDO RNC 25 TP 385 Throughput,32078,26748,31830,14024,14880,37282,56422,47175,106819,123335,88146,141835,340310,141509,345777,102256,133820,370062,311613,395828,557545,458575,501090,499671
EVDO RNC 25 TP 386 Throughput,433993,120998,76821,78169,35910,54282,113138,110619,89253,247812,221995,178893,597826,465711,323849,506153,133686,505948,392479,638961,563486,378623,176054,99370
EVDO RNC 25 TP 387 Throughput,141552,248690,182618,140767,76671,206519,113786,153899,165958,222549,390952,215413,354089,160564,316838,329983,265334,437768,809063,474846,513422,665441,448580,1292262
EVDO RNC 25 TP 388 Throughput,215182,415431,160757,50988,146706,255845,195551,211318,208674,132108,329363,99154,309347,706751,280224,333423,442888,351647,526878,696381,431663,293605,404800,120757
EVDO RNC 25 TP 389 Throughput,110080,403299,11078,166697,16443,42835,152909,106532,131778,226863,106945,172457,114592,174646,217516,178944,201935,266955,317021,828632,1196063,1276969,1019938,418434
EVDO RNC 25 TP 390 Throughput,839881,12130,10590,9301,10589,4486,245482,235732,194618,207169,143047,308027,386412,198146,221595,304156,157468,190520,111398,159989,101093,120956,396856,439847
EVDO RNC 25 TP 391 Throughput,985838,1031659,1000845,1084842,1035468,1036067,885463,419872,190889,156107,156265,162439,265275,113790,207881,168577,303551,1144635,312102,337615,864649,797085,453776,148201
EVDO RNC 25 TP 392 Throughput,133514,27260,11094,11687,9959,21144,105021,140910,180148,259916,636682,268472,611240,251864,491246,633173,829903,642602,408694,331192,577650,382319,270169,484917
EVDO RNC 25 TP 393 Throughput,78520,67229,26706,25631,53836,72100,160738,78827,164799,276499,360429,992112,306297,190079,131523,301515,102637,455772,306311,111220,908177,340162,275951,446097
EVDO RNC 25 TP 394 Throughput,502330,866019,643679,384043,63090,95754,67093,115165,435518,292437,366518,481984,713435,758839,181028,270854,352948,738003,740110,833040,1116368,980411,893243,827032
EVDO RNC 25 TP 395 Throughput,186547,84777,16218,6492,3026,8484,60392,109905,330056,463666,359459,220259,432886,383759,551507,615134,484667,316297,306233,190865,332141,849296,298871,141913
EVDO RNC 25 TP 396 Throughput,43889,19548,71609,28980,19186,58655,95427,527053,211828,206744,137807,284461,207870,276863,267700,316120,482330,255381,518775,633391,512218,792130,150021,78503
EVDO RNC 25 TP 397 Throughput,200800,51486,135343,226895,82740,72054,25380,97698,355876,240754,341569,601860,212759,144214,333416,665419,451233,472722,668502,516810,742875,217215,284469,137883
EVDO RNC 25 TP 398 Throughput,136073,273579,27707,13601,9686,18381,113348,223044,274310,855893,997412,420931,200955,178111,340182,335889,200162,203515,362545,225998,428201,367915,151206,260335
EVDO RNC 25 TP 399 Throughput,195045,151777,8300,6807,3803,21004,53624,118846,209946,126453,317567,227959,225226,254230,217985,211856,324997,515314,490054,330077,740640,461721,104070,196762
EVDO RNC 25 TP 400 Throughput,326858,57018,80555,52510,52925,34604,119470,176166,290328,168980,545559,339827,344153,343634,319255,462383,306346,548214,394983,303149,140606,566576,161542,72515
EVDO RNC 26 TP 401 Throughput,247676,163265,208362,483526,335801,437843,373350,211784,1154462,1023340,699002,1707750,1381045,1545024,1377840,1258096,689694,1021273,1137495,1236244,1267595,1903539,2009502,901408
EVDO RNC 26 TP 402 Throughput,816870,595757,140280,33511,383920,81436,233885,435728,417740,223409,508143,503661,420079,594982,495836,392143,650714,619463,693887,1200666,1551927,1383496,805698,775823
EVDO RNC 26 TP 403 Throughput,989774,478833,402589,624607,365578,92607,152186,192125,210437,194718,770573,1733169,1473877,1176970,1343394,1042679,826806,523467,516259,407275,914836,1597599,1331077,1528150
EVDO RNC 26 TP 404 Throughput,867718,849162,887695,833000,767315,491911,100440,303987,973743,1366521,1226485,1072918,1093359,706334,332424,484376,1563769,1981321,1719616,1093157,1262562,1179699,1062584,1059944
EVDO RNC 26 TP 405 Throughput,3045164,2774787,2747656,2032653,2052737,2245892,2512606,2246684,2156691,1722706,1827363,1654508,1142734,1296811,1459564,991196,747931,2713262,3294446,2320812,2551866,2217947,3429676,3242861
EVDO RNC 26 TP 406 Throughput,1366801,1117376,940957,846581,1027414,808113,372715,418469,756222,438438,258261,318384,679359,1207425,1164469,758883,794147,731416,471823,1061099,427391,729534,1243932,356481
EVDO RNC 26 TP 407 Throughput,502151,122191,80183,41922,118091,262328,536003,294968,270093,505361,759696,587458,869501,782385,363264,894663,719300,1383614,1052564,1362187,958881,1202248,1657077,1041787
EVDO RNC 26 TP 408 Throughput,1325750,1019557,1002803,1484624,2226755,2171504,1403775,555990,577531,474721,765698,525424,274993,706970,970159,447333,541583,859481,1044031,467457,682519,540773,933892,916666
EVDO RNC 26 TP 409 Throughput,114224,40613,34342,335236,171495,73502,93898,292715,466642,524930,381008,190898,342318,228140,616523,964291,1157428,362969,500641,594647,531871,554546,285660,214830
EVDO RNC 26 TP 410 Throughput,125645,432067,468679,626912,389780,266290,225006,415892,425235,483743,425914,683674,828984,1140016,476115,570719,693805,566383,852083,1236269,1210450,1234628,523558,1118930
EVDO RNC 26 TP 411 Throughput,327488,203936,146350,141912,98648,149602,317846,296695,432572,622543,353481,421994,707728,661144,390781,264035,450198,263384,613705,903063,975100,794158,389642,531983
EVDO RNC 26 TP 412 Throughput,1601380,1398329,990770,1438499,1123715,1065105,992012,891532,811302,843338,431019,550277,1279013,1555395,1977833,2461682,1414531,1355383,1181083,2121396,2457433,2030201,1087411,611917
EVDO Service Node Throughput,48545797,33920984,26850341,24439869,20142767,19428771,23045398,27801967,33677682,36264963,36153380,38528753,42272329,44016701,42711956,45023476,41476051,45196627,45339092,50157384,54288484,56550942,47982340,43662764
EVDO Service Node Throughput Utilization,3,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2
EVDO Total Throughput Service Node,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000,1875000000
CDMA_OrgNetBlkCL0 Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDMAInNetBlkCL0 Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inc_CallOverload Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrignatnDropped Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vETimeSlotMismatch Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCN_DNOverflow Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vocod5EOvf8K Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vocod5EOvf13K Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vocod5EOvfEVRC Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5E3Port Voice Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3G1XPDOVF Data Blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
