CMTS Type:,acr,Version:,8.45,,OTN/Hub Name:,A1Atlanta (GA),,Cities Served:,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,downloaded 8.45
# of Nodes:,104,Submitted date:,01/18/2015,,Facility DNS:,A1atlanta.ga,,Opt Tran:,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HHP:,5031,Implementation Date:,01/19/2015,,CLLI Code:,ATLAGA31,,Opt Rec:,101,,MULTI-CONFIG:,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator City,State,Fiber Node,Corp ID (DST) or Sys Prin (CSG) or SysPrinAgent (CSG),GL,Virtual Node Indicator,Old Node ID (If Applicable),Homes Passed,Optical Transmitter,Optical Receiver,Service Delivery Type,Unit ID (DNS),Unit ID - IP,MAC Domain,Downstream Slot,Downstream Physical Port,I-CMTS Logical Downstream Port,Downstream Freq. (MHz),Downstream Modulation (64 or 256QAM),EDGE QAM Name,EDGE QAM IP,Modular RF Channel ID,EDGE QAM Input Port,EDGE QAM Output Slot,EDGE QAM Output Port,EDGE QAM Output Port Channel,Upstream Slot,Logical Upstream Port,Physical Upstream Port,Upstream Freq. (Mhz),Upstream Channel Width (MHz),"Upstream Modulation (8,16,32,64, 128QAM or QPSK)",Multiplexing Technique,Serving Group,NCP Changes (previous serving groups or notes),Modem Count,Node Group,Downstream Plant,OM-1000 Name,NC-1500 Name,EMM Multicast IP,SI Multicast IP,DSG RADD Name,DSG RADD Device IP,OM-1000 Device IP,SCTE-18 EAS Name,SCTE-18 EAS Encoder IP,SCTE-18 EAS Model,SCTE-18 EAS Multicast IP,SCTE-65 Multicast IP,XAIT Multicast IP,XAIT Device IP,SA (CA) Multicast IP,SA DNCS DBDS Interface IP,VOD Server Group,FFOArea,PlantOps,TechOps,HeadEndOps,MTA Count,MARKET DEFINED 1,MARKET DEFINED 2,MARKET DEFINED 3,MARKET DEFINED 4,MARKET DEFINED 5
Atlanta,GA,A1007B,82201800,000570,TBD,,0,91,27,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,25,9,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",0,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/0/15/3/0/2,,130,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,80,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,130,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1008,82201800,000570,TBD,,0,38,14A,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,2,12,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"8,9,10",2,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/1/15/1/2/10,,256,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,153,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,256,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1009,82201800,000570,TBD,,0,7,2D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,20,10,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",14,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/3/15/2/14/10,,353,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,154,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,353,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1010,82201800,000570,TBD,,0,70,18B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,16,11,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",6,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/7/15/2/6/2,,118,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,60,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,118,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1011B,82201800,000570,TBD,,0,96,32,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,3,12,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",4,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/2/15/1/4/6,,146,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,85,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,146,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1014,82201800,000570,TBD,,0,40,17A,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,17,10,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",8,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/0/15/2/8/10,,215,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,126,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,215,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1015,82201800,000570,TBD,,0,77,19D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,31,9,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",12,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/6/15/3/12/2,,187,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,93,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,187,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1016,82201800,000570,TBD,,0,66,16B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,15,11,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",4,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/6/15/2/4/6,,179,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,109,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,179,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1018A,82201800,000570,TBD,,0,68,17D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,28,9,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",6,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/3/15/3/6/2,,78,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,50,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,78,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1019B,82201800,000570,TBD,,0,15,15B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,31,9,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",13,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/6/15/3/13/6,,81,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,41,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,81,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1020,82201800,000570,TBD,,0,65,16D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,27,9,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",4,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/2/15/3/4/6,,139,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,78,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,139,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1023,82201800,000570,TBD,,0,33,4C,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,8,12,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"8,9,10",14,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/7/15/1/14/10,,180,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,98,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,180,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1028,82201800,000570,TBD,,0,18,6B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,25,9,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",1,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/0/15/3/1/6,,0,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,0,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1032,82201800,000570,TBD,,0,62,15D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,24,10,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",23,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/7/15/2/23/10,,213,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,106,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,213,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1034,82201800,000570,TBD,,0,19,7A,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,29,9,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",8,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/4/15/3/8/10,,190,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,45,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,190,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1036,82201800,000570,TBD,,0,14,5D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,22,10,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",18,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/5/15/2/18/2,,308,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,118,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,308,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1039,82201800,000570,TBD,,0,11,4A,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,18,10,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",10,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/1/15/2/10/6,,244,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,78,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,244,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1042,82201800,000570,TBD,,0,22,7D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,24,10,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",22,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/7/15/2/22/6,,209,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,109,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,209,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1043,82201800,000570,TBD,,0,26,8C,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,21,10,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",16,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/4/15/2/16/6,,248,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,72,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,248,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1046,82201800,000570,TBD,,250,28,9C,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,10,11,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",18,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/1/15/1/18/2,,420,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,134,
Total Node,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,420,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1050B,82201800,000570,TBD,,0,94,30,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,26,9,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",2,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/1/15/3/2/10,,232,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,82,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,232,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1052,82201800,000570,TBD,,0,45,10A,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,12,11,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",22,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/3/15/1/22/6,,214,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,109,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,214,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1054,82201800,000570,TBD,,0,9,3B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,23,10,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",20,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/6/15/2/20/10,,196,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,106,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,196,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
